Severity,CWE,Tool_A_Alert,Tool_B_Alert,Tool_A_Rule,Tool_B_Rule,Line,TruePositive
High,399,1,0,11,18,40,0
Low,561,1,0,4,18,70,0
High,401,1,0,7,18,49,0
High,401,1,0,7,18,44,1
High,401,1,0,7,18,34,1
High,401,1,0,7,18,40,1
High,401,1,0,7,18,63,0
High,401,1,0,7,18,113,0
High,401,1,0,7,18,41,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,60,0
High,465,1,0,6,18,43,1
High,465,1,0,6,18,86,0
Medium,227,1,0,1,18,69,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,72,0
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,68,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,131,0
Low,561,1,0,4,18,106,0
Low,561,1,0,4,18,27,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,29,0
High,465,1,0,6,18,49,1
Low,561,1,0,4,18,111,0
Low,561,1,0,4,18,137,0
Low,561,1,1,4,20,175,0
Low,561,1,0,4,18,143,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,53,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,57,0
Low,561,1,1,4,32,50,0
Medium,704,1,0,2,18,28,0
Low,561,1,0,4,18,47,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,169,0
Low,561,1,0,4,18,143,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,47,0
Medium,227,1,0,1,18,37,0
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,83,0
Low,561,1,1,4,26,29,0
Low,561,1,0,4,18,49,0
High,401,1,0,7,18,34,1
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,69,0
High,399,1,0,11,18,43,1
Low,561,1,0,4,18,350,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,111,0
High,401,1,0,7,18,47,1
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,65,0
Low,561,1,1,4,12,51,0
Low,561,1,0,4,18,108,0
Low,561,1,0,4,18,82,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,80,0
High,401,1,0,7,18,65,0
Low,561,1,0,4,18,83,0
Low,561,1,0,4,18,59,0
High,465,1,0,6,18,82,0
High,465,1,0,6,18,107,0
High,465,1,0,6,18,48,1
High,401,1,0,7,18,54,1
Low,561,1,0,4,18,59,0
Low,561,1,1,4,1,28,0
Low,561,1,0,4,18,46,0
Medium,665,1,0,5,18,83,0
High,465,1,0,6,18,114,0
High,465,1,0,6,18,35,1
Medium,665,1,0,5,18,60,0
High,465,1,0,6,18,133,0
Low,561,1,1,4,27,30,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,61,0
High,465,1,0,6,18,86,0
High,465,1,0,6,18,116,0
High,465,1,0,6,18,47,1
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,81,0
High,401,1,0,7,18,41,0
High,401,1,0,7,18,71,0
High,401,1,0,7,18,99,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,129,0
High,399,1,0,11,18,41,0
Low,561,1,0,4,18,111,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,83,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,60,0
High,401,1,0,7,18,91,0
High,401,1,0,7,18,66,0
High,401,1,0,7,18,46,0
High,401,1,0,7,18,44,1
High,119,1,0,3,18,150,1
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,53,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,197,0
Low,561,1,0,4,18,113,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,91,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,117,0
Low,561,1,0,4,18,72,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,72,0
High,399,1,0,11,18,47,1
Low,561,1,0,4,18,44,0
High,401,1,0,7,18,67,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,100,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,138,0
Low,561,1,0,4,18,171,0
Low,561,1,0,4,18,60,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,148,0
Low,561,1,0,4,18,92,0
Low,561,1,0,4,18,119,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,48,0
Medium,227,1,0,1,18,82,0
Medium,227,1,0,1,18,35,1
Medium,227,1,0,1,18,63,0
Low,561,1,0,4,18,162,0
Low,561,1,1,4,1,131,0
Low,562,1,0,12,18,47,0
High,119,1,0,3,18,47,1
Medium,665,1,0,5,18,27,1
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,68,0
High,401,1,0,7,18,46,1
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,167,0
Low,561,1,1,4,12,151,0
Low,561,1,0,4,18,128,0
High,189,1,0,9,18,41,1
Low,561,1,0,4,18,84,0
Low,561,1,0,4,18,109,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,132,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,43,0
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,46,0
High,401,1,0,7,18,41,1
High,465,1,0,6,18,86,0
High,465,1,0,6,18,67,0
High,465,1,0,6,18,39,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,87,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,63,0
Medium,227,1,0,1,18,46,1
Medium,227,1,0,1,18,77,0
Medium,227,1,0,1,18,99,0
Medium,665,1,1,5,2,100,0
High,401,1,0,7,18,64,0
High,401,1,0,7,18,91,0
High,465,1,0,6,18,62,0
Medium,665,1,0,5,18,136,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,172,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,101,0
Low,561,1,0,4,18,139,0
High,401,1,0,7,18,96,0
High,401,1,0,7,18,38,0
High,401,1,0,7,18,67,0
Low,561,1,0,4,18,65,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,93,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,25,0
Medium,227,1,0,1,18,28,0
Medium,227,1,0,1,18,40,0
Medium,227,1,0,1,18,79,0
Medium,227,1,1,1,26,46,1
Medium,227,1,1,1,26,103,0
Low,561,1,0,4,18,149,0
High,401,1,0,7,18,102,0
High,401,1,0,7,18,73,0
High,401,1,0,7,18,44,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,59,0
High,401,1,0,7,18,37,1
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,146,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,44,0
High,401,1,0,7,18,46,1
High,465,1,0,6,18,91,0
High,465,1,0,6,18,44,0
High,465,1,0,6,18,72,0
High,401,1,0,7,18,47,1
High,465,1,0,6,18,74,0
High,465,1,0,6,18,93,0
High,465,1,0,6,18,46,0
High,401,1,0,7,18,48,1
Low,561,1,0,4,18,159,0
High,401,1,0,7,18,68,0
High,401,1,0,7,18,139,0
High,401,1,0,7,18,96,0
High,401,1,0,7,18,43,1
High,401,1,0,7,18,45,0
High,401,1,0,7,18,120,0
Low,561,1,0,4,18,122,0
High,399,1,0,11,18,39,0
Low,561,1,0,4,18,113,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,31,0
Low,561,1,0,4,18,87,0
Low,561,1,0,4,18,130,0
Low,561,1,0,4,18,151,0
Medium,227,1,0,1,18,147,0
Low,561,1,0,4,18,138,0
Low,561,1,0,4,18,111,0
Medium,227,1,0,1,18,168,0
Low,561,1,0,4,18,47,0
High,465,1,0,6,18,42,1
High,465,1,0,6,18,107,0
High,465,1,0,6,18,79,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,59,0
Low,561,1,1,4,32,84,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,29,0
Medium,665,1,0,5,18,32,1
Low,561,1,0,4,18,134,0
Low,561,1,0,4,18,46,0
High,401,1,1,7,26,34,1
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,41,0
High,399,1,0,11,18,85,0
High,399,1,0,11,18,48,0
High,399,1,1,11,32,108,0
Medium,227,1,0,1,18,50,1
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,76,0
Low,561,1,1,4,1,32,0
Low,561,1,0,4,18,129,0
Low,561,1,0,4,18,104,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,62,0
High,401,1,1,7,32,44,1
High,401,1,0,7,18,49,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,89,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,37,0
High,401,1,0,7,18,147,0
High,401,1,0,7,18,126,0
High,399,1,0,11,18,42,1
Medium,227,1,0,1,18,118,0
Medium,227,1,0,1,18,88,0
Medium,227,1,0,1,18,49,1
Medium,227,1,0,1,18,39,0
Medium,227,1,0,1,18,28,0
Low,561,1,0,4,18,67,0
Low,561,1,1,4,26,48,0
Low,561,1,1,4,26,25,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,46,0
Medium,704,1,0,2,18,27,1
High,401,1,0,7,18,39,1
Medium,227,1,0,1,18,33,1
High,401,1,0,7,18,36,1
Low,561,1,0,4,18,84,0
High,465,1,0,6,18,39,1
Low,561,1,0,4,18,54,0
High,465,1,0,6,18,73,0
Low,561,1,1,4,1,25,0
High,465,1,0,6,18,98,0
Low,561,1,0,4,18,33,0
Low,561,1,1,4,32,68,0
Medium,227,1,0,1,18,145,0
Medium,227,1,0,1,18,39,1
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,45,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,35,0
High,465,1,0,6,18,34,1
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,42,0
Low,561,1,0,4,18,124,0
Low,561,1,0,4,18,147,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,66,0
Low,561,1,0,4,18,47,0
Low,561,1,0,4,18,136,0
High,401,1,0,7,18,46,1
Low,561,1,0,4,18,95,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,180,0
High,119,1,0,3,18,129,1
Low,561,1,0,4,18,148,0
Medium,465,1,0,6,18,108,0
Medium,465,1,0,6,18,83,0
Low,561,1,0,4,18,116,0
Low,561,1,0,4,18,143,0
High,401,1,0,7,18,69,0
Medium,704,1,0,2,18,30,0
Medium,704,1,0,2,18,65,0
Medium,704,1,0,2,18,67,0
Medium,704,1,0,2,18,96,0
High,401,1,0,7,18,32,0
Medium,704,1,0,2,18,28,0
Medium,704,1,0,2,18,98,0
Low,561,1,0,4,18,89,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,91,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,64,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,142,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,103,0
Low,561,1,0,4,18,176,0
Low,561,1,0,4,18,64,0
Low,561,1,0,4,18,100,0
High,119,1,0,3,18,50,1
Low,561,1,0,4,18,69,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,47,0
Medium,227,1,0,1,18,35,1
Medium,227,1,0,1,18,99,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,44,0
High,401,1,0,7,18,34,1
Low,561,1,0,4,18,136,0
Low,561,1,0,4,18,58,0
Medium,704,1,0,2,18,32,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,82,0
Medium,227,1,0,1,18,60,0
Medium,227,1,0,1,18,36,0
Low,561,1,0,4,18,34,0
Low,561,1,1,4,26,82,0
Low,561,1,1,4,26,57,0
Low,561,1,0,4,18,51,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,136,0
Low,561,1,0,4,18,139,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,116,0
Low,561,1,0,4,18,78,0
Low,561,1,0,4,18,75,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,71,0
Low,561,1,0,4,18,27,0
Low,561,1,0,4,18,126,0
High,401,1,0,7,18,42,1
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,60,0
Low,561,1,1,4,12,112,0
Low,561,1,0,4,18,82,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,54,0
High,401,1,0,7,18,31,1
High,465,1,0,6,18,73,0
High,465,1,0,6,18,99,0
High,465,1,0,6,18,38,1
Low,561,1,0,4,18,67,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,67,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,47,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,135,0
High,401,1,0,7,18,69,0
High,401,1,0,7,18,40,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,88,0
Low,561,1,0,4,18,122,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,35,0
Medium,465,1,0,6,18,90,0
Medium,465,1,0,6,18,120,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,55,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,124,0
Low,561,1,0,4,18,246,0
Low,561,1,0,4,18,199,0
Medium,465,1,0,6,18,114,0
Medium,465,1,0,6,18,90,0
Low,561,1,0,4,18,134,0
Medium,227,1,0,1,18,55,0
High,401,1,0,7,18,29,1
High,401,1,0,7,18,40,1
Low,561,1,0,4,18,135,0
Low,561,1,0,4,18,52,0
Low,561,1,1,4,12,34,0
Low,561,1,0,4,18,66,0
Medium,227,1,0,1,18,52,1
High,399,1,0,11,18,45,1
High,401,1,0,7,18,53,0
Low,561,1,0,4,18,189,0
High,401,1,0,7,18,38,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,119,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,32,0
High,401,1,0,7,18,54,0
High,401,1,0,7,18,169,0
High,401,1,0,7,18,73,0
High,401,1,0,7,18,131,0
High,401,1,0,7,18,202,0
Medium,227,1,0,1,18,42,0
Low,561,1,0,4,18,56,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,44,0
High,401,1,0,7,18,41,1
Low,561,1,0,4,18,89,0
Low,561,1,0,4,18,59,0
Low,561,1,1,4,25,26,0
Low,561,1,0,4,18,343,0
Low,561,1,0,4,18,378,0
High,401,1,0,7,18,46,1
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,45,0
High,401,1,0,7,18,142,0
High,401,1,1,7,32,73,0
High,401,1,1,7,32,121,0
High,401,1,0,7,18,95,0
High,465,1,0,6,18,41,1
High,399,1,0,11,18,49,1
Low,561,1,0,4,18,159,0
Low,561,1,0,4,18,74,0
Low,561,1,0,4,18,119,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,206,0
High,401,1,0,7,18,43,1
Low,561,1,0,4,18,58,0
Low,561,1,0,4,18,35,0
Low,561,1,0,4,18,61,0
Medium,665,1,0,5,18,33,1
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,55,0
Medium,704,1,0,2,18,33,1
Low,561,1,0,4,18,340,0
High,401,1,0,7,18,46,0
High,401,1,0,7,18,66,0
High,401,1,0,7,18,44,1
High,401,1,0,7,18,91,0
Low,561,1,1,4,27,73,0
Low,561,1,1,4,25,60,0
Low,561,1,0,4,18,37,0
Medium,227,1,0,1,18,39,1
Medium,227,1,0,1,18,96,0
Medium,227,1,0,1,18,72,0
High,465,1,0,6,18,143,0
High,465,1,0,6,18,47,1
High,465,1,0,6,18,169,0
High,399,1,0,11,18,54,0
Low,561,1,0,4,18,64,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,83,0
Low,561,1,0,4,18,111,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,121,0
Low,561,1,0,4,18,29,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,52,0
Low,561,1,0,4,18,31,0
High,399,1,0,11,18,48,0
High,399,1,0,11,18,85,0
High,399,1,0,11,18,108,0
Low,561,1,0,4,18,122,0
Low,561,1,0,4,18,243,0
Low,561,1,0,4,18,85,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,189,0
Low,561,1,0,4,18,137,0
Low,561,1,0,4,18,131,0
High,399,1,0,11,18,108,0
High,399,1,0,11,18,84,0
High,399,1,0,11,18,46,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,89,0
High,401,1,0,7,18,38,1
Medium,227,1,0,1,18,66,0
Medium,227,1,0,1,18,42,0
High,399,1,0,11,18,69,0
High,399,1,0,11,18,36,0
Low,561,1,0,4,18,26,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,70,0
Low,561,1,0,4,18,94,0
Low,561,1,0,4,18,37,0
Low,561,1,0,4,18,62,0
High,401,1,0,7,18,44,1
High,401,1,0,7,18,69,0
High,401,1,0,7,18,121,0
Medium,665,1,0,5,18,139,0
Medium,704,1,0,2,18,27,1
Medium,465,1,0,6,18,200,0
Medium,465,1,0,6,18,235,0
Medium,465,1,0,6,18,156,0
Medium,227,1,0,1,18,49,1
Medium,227,1,0,1,18,78,0
Medium,227,1,0,1,18,98,0
Medium,227,1,0,1,18,40,1
Low,561,1,0,4,18,27,0
Low,561,1,0,4,18,54,0
Low,561,1,0,4,18,82,0
Medium,227,1,0,1,18,72,0
Medium,227,1,0,1,18,95,0
High,401,1,0,7,18,44,1
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,62,0
Low,561,1,0,4,18,32,0
Low,561,1,0,4,18,129,0
Low,561,1,0,4,18,65,0
Low,561,1,0,4,18,38,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,63,0
Low,561,1,0,4,18,42,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,44,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,33,0
Low,561,1,0,4,18,91,0
Medium,227,1,0,1,18,104,0
Medium,227,1,0,1,18,51,1
Low,561,1,0,4,18,39,0
Medium,227,1,0,1,18,82,0
Low,561,1,1,4,1,64,0
Medium,227,1,1,1,32,49,1
High,399,1,0,11,18,44,0
High,401,1,0,7,18,93,0
High,401,1,1,7,26,65,0
High,401,1,0,7,18,37,0
High,399,1,0,11,18,38,0
High,399,1,0,11,18,69,0
Low,561,1,0,4,18,28,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,50,0
High,401,1,0,7,18,45,1
Low,561,1,0,4,18,81,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,34,0
Low,561,1,0,4,18,326,0
Low,561,1,0,4,18,349,0
Low,561,1,0,4,18,25,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,107,0
Low,561,1,0,4,18,50,0
Low,561,1,0,4,18,81,0
Medium,227,1,0,1,18,59,0
Low,561,1,0,4,18,73,0
Low,561,1,0,4,18,105,0
Low,561,1,1,4,26,59,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,36,0
Low,561,1,0,4,18,122,0
Medium,465,1,0,6,18,116,0
Medium,465,1,0,6,18,86,0
Medium,227,1,0,1,18,60,0
Low,561,1,0,4,18,171,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,49,0
Low,561,1,0,4,18,145,0
High,401,1,1,7,32,41,0
Low,561,1,0,4,18,90,0
Low,561,1,0,4,18,57,0
Low,561,1,0,4,18,25,0
High,399,1,0,11,18,40,0
Medium,704,1,0,2,18,38,0
Low,561,1,0,4,18,46,0
Low,561,1,0,4,18,28,0
High,119,1,0,3,18,51,1
High,465,1,0,6,18,47,0
Low,561,1,0,4,18,39,0
Low,561,1,0,4,18,62,0
High,401,1,0,7,18,139,0
High,399,1,0,11,18,41,1
High,401,1,0,7,18,119,0
Low,561,1,0,4,18,133,0
Low,561,1,0,4,18,82,0
Low,561,1,0,4,18,40,0
Low,561,1,0,4,18,110,0
High,399,1,0,11,18,69,0
High,399,1,0,11,18,38,0
Low,561,1,0,4,18,48,0
Low,561,1,0,4,18,30,0
Low,561,1,0,4,18,61,0
Low,561,1,0,4,18,59,0
Low,561,1,0,4,18,176,0
Medium,227,1,0,1,18,31,0
Medium,227,1,0,1,18,45,0
Medium,704,1,0,2,18,31,0
